,player_name,FG_pct,FG_pct_1_make,FG_pct_1_miss,FG_pct_2_make,FG_pct_2_miss,FG_pct_3_make,FG_pct_3_miss,FG_pct_4_make,FG_pct_4_miss,FG_pct_5_make,FG_pct_5_miss,FG_pct_80_pct,FG_pct_20_pct
86,gerald henderson,0.45365853658536587,0.4536082474226804,0.44554455445544555,0.47619047619047616,0.4489795918367347,0.5,0.5652173913043478,0.42105263157894735,0.6470588235294118,0.375,0.8,0.4358974358974359,0.45794392523364486
87,giannis antetokounmpo,0.5046153846153846,0.4939759036144578,0.5205479452054794,0.47368421052631576,0.4603174603174603,0.5806451612903226,0.43333333333333335,0.6,0.4,0.625,0.5,0.5428571428571428,0.4430379746835443
89,goran dragic,0.5130813953488372,0.5,0.5551948051948052,0.5176470588235295,0.5203252032520326,0.3709677419354839,0.45098039215686275,0.2727272727272727,0.5,0.16666666666666666,0.7,0.42528735632183906,0.4928571428571429
90,gordon hayward,0.4499411071849234,0.44075829383886256,0.4513888888888889,0.42045454545454547,0.41743119266055045,0.45,0.37606837606837606,0.4230769230769231,0.38461538461538464,0.2727272727272727,0.37142857142857144,0.45901639344262296,0.43568464730290457
92,greg monroe,0.5047169811320755,0.46875,0.527027027027027,0.5342465753424658,0.5873015873015873,0.48333333333333334,0.6595744680851063,0.5,0.5714285714285714,0.4444444444444444,0.4,0.5606060606060606,0.4864864864864865
93,greivis vasquez,0.43478260869565216,0.3333333333333333,0.4934210526315789,0.48,0.46875,0.42105263157894735,0.5384615384615384,0.42857142857142855,0.4,0.5,0.4,0.3157894736842105,0.47368421052631576
94,harrison barnes,0.47596153846153844,0.4716981132075472,0.47,0.4583333333333333,0.46938775510204084,0.38461538461538464,0.52,0.4,0.6363636363636364,0.0,0.5,0.2727272727272727,0.5882352941176471
97,hollis thompson,0.47058823529411764,0.391304347826087,0.4634146341463415,0.2857142857142857,0.3888888888888889,0.7142857142857143,0.2222222222222222,0.8,0.2,0.75,0.3333333333333333,0.25,0.35
98,isaiah thomas,0.438,0.46218487394957986,0.4474708171206226,0.4339622641509434,0.42748091603053434,0.38235294117647056,0.4057971014492754,0.3333333333333333,0.40540540540540543,0.25,0.3157894736842105,0.45454545454545453,0.4838709677419355
100,jamal crawford,0.4157458563535912,0.3879781420765027,0.42710997442455245,0.4,0.4320388349514563,0.3611111111111111,0.4563106796116505,0.36363636363636365,0.5490196078431373,0.25,0.45,0.3870967741935484,0.47368421052631576
102,james harden,0.4521988527724665,0.4860557768924303,0.45555555555555555,0.4152542372881356,0.44802867383512546,0.4430379746835443,0.41379310344827586,0.36363636363636365,0.35,0.3333333333333333,0.3877551020408163,0.4536082474226804,0.4396551724137931
105,jared sullinger,0.45084745762711864,0.4155844155844156,0.5066666666666667,0.45901639344262296,0.5263157894736842,0.2647058823529412,0.5932203389830508,0.25,0.5217391304347826,0.5,0.5454545454545454,0.2972972972972973,0.5275590551181102
106,jarrett jack,0.4722222222222222,0.39285714285714285,0.4714285714285714,0.47619047619047616,0.47474747474747475,0.6111111111111112,0.4888888888888889,0.6842105263157895,0.5,0.9,0.4444444444444444,0.4642857142857143,0.46226415094339623
108,jason smith,0.46060606060606063,0.5833333333333334,0.43209876543209874,0.5882352941176471,0.425,0.4117647058823529,0.4444444444444444,0.42857142857142855,0.5,0.3333333333333333,0.6666666666666666,0.4166666666666667,0.6551724137931034
111,jeff green,0.4157119476268412,0.41333333333333333,0.4199395770392749,0.375,0.47701149425287354,0.40625,0.475,0.25,0.4857142857142857,0.3333333333333333,0.38461538461538464,0.38235294117647056,0.4260355029585799
112,jeff teague,0.4804088586030664,0.4897959183673469,0.4734982332155477,0.5074626865671642,0.47101449275362317,0.4166666666666667,0.4782608695652174,0.3157894736842105,0.4444444444444444,0.3333333333333333,0.4,0.4,0.5111111111111111
115,jeremy lin,0.4641638225255973,0.5,0.43356643356643354,0.45454545454545453,0.47297297297297297,0.48,0.4722222222222222,0.18181818181818182,0.5294117647058824,0.0,0.0,0.48484848484848486,0.475
117,jimmy butler,0.46986301369863015,0.48936170212765956,0.4986301369863014,0.3488372093023256,0.5144508670520231,0.42857142857142855,0.5061728395061729,0.5294117647058824,0.48717948717948717,0.5,0.5789473684210527,0.4,0.5033557046979866
119,jj redick,0.4616858237547893,0.43283582089552236,0.4624505928853755,0.43636363636363634,0.44166666666666665,0.4358974358974359,0.5084745762711864,0.375,0.4642857142857143,0.5,0.5714285714285714,0.30952380952380953,0.44696969696969696
122,joe johnson,0.4423631123919308,0.44970414201183434,0.4507042253521127,0.4246575342465753,0.430939226519337,0.4,0.42857142857142855,0.15789473684210525,0.4339622641509434,0.6666666666666666,0.42857142857142855,0.32142857142857145,0.4550898203592814
124,john wall,0.4473684210526316,0.47804878048780486,0.46226415094339623,0.4421052631578947,0.4975609756097561,0.32142857142857145,0.4835164835164835,0.4117647058823529,0.4883720930232558,0.14285714285714285,0.5714285714285714,0.36065573770491804,0.4887640449438202
128,jonas valanciunas,0.5782608695652174,0.5714285714285714,0.5714285714285714,0.5666666666666667,0.5,0.6571428571428571,0.47058823529411764,0.6666666666666666,0.3333333333333333,0.7692307692307693,0.5,0.6,0.625
129,jordan farmar,0.5,1.0,0.16666666666666666,1.0,0.2,0.6666666666666666,0.25,0.5,0.3333333333333333,0.0,0.5,0.5,0.5
130,jordan hill,0.46595744680851064,0.48672566371681414,0.4978723404255319,0.42857142857142855,0.5309734513274337,0.5263157894736842,0.5,0.5,0.5769230769230769,0.2,0.7272727272727273,0.6410256410256411,0.47474747474747475
132,jose juan barea,0.4180327868852459,0.3870967741935484,0.421875,0.2,0.3333333333333333,0.7142857142857143,0.3684210526315789,0.8,0.45454545454545453,0.75,0.8,0.3333333333333333,0.3793103448275862
